open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1612065600000,33966.0,34160.26,33452.24,33632.41,26657.019,1612079999999,901191947.8819,287091,13524.73,457274913.97566,0
1612080000000,33631.01,33880.0,33239.24,33603.93,33232.475,1612094399999,1116751934.98042,352344,15974.304,536865218.82157,0
1612094400000,33603.93,34268.0,32550.0,32875.93,54713.97,1612108799999,1830198963.46673,528015,26580.138,889490637.60004,0
1612108800000,32878.84,33112.88,32193.04,32817.33,45281.369,1612123199999,1481306492.98231,480445,22172.964,725520934.53059,0
1612123200000,32817.24,33280.73,32511.25,33126.21,23661.556,1612137599999,778718319.78207,288246,11883.496,391108170.0021,0
1612137600000,33125.11,33889.93,32322.47,33600.37,47271.797,1612151999999,1568916619.41737,451951,24684.237,819065442.59531,0
1612152000000,33600.37,34484.1,33308.01,33827.0,48190.596,1612166399999,1626399691.28427,466210,24720.26,834541152.82699,0
1612166400000,33828.41,34720.0,33644.05,34219.91,49690.237,1612180799999,1703803485.57989,480791,25361.305,869931080.00133,0
1612180800000,34219.94,34493.94,33173.14,33178.13,45809.741,1612195199999,1547302396.36466,444767,21503.707,726766694.33456,0
1612195200000,33181.26,34121.89,33161.0,33867.65,28759.426,1612209599999,969634608.6591,319958,15937.977,537446962.92413,0
1612209600000,33867.65,34083.21,33458.0,33546.09,20910.528,1612223999999,705328835.83185,257496,10453.24,352597572.11996,0
1612224000000,33546.08,34200.0,33450.0,33592.79,24090.227,1612238399999,813901076.78366,291947,12534.529,423453339.58293,0
1612238400000,33592.79,34455.0,33540.0,34261.84,28930.49,1612252799999,985596567.36992,306923,15874.109,540761326.0826,0
1612252800000,34261.81,35720.0,34150.0,34821.61,64164.273,1612267199999,2249518372.31511,561211,32422.712,1136425398.13392,0
1612267200000,34821.6,35269.96,34338.0,34750.83,50521.112,1612281599999,1760928270.631,447523,25201.844,878955299.83378,0
1612281600000,34750.83,35880.0,34600.04,35805.48,41196.201,1612295999999,1448292374.03078,408622,22004.671,774160645.09538,0
1612296000000,35805.63,36041.0,35500.0,35504.06,30953.927,1612310399999,1106450912.24876,328967,15499.198,554136145.95323,0
1612310400000,35504.07,36550.0,35410.0,36446.25,35359.468,1612324799999,1275335765.2673,347761,19105.19,689117997.128,0
1612324800000,36446.26,36915.06,36263.03,36358.28,35690.223,1612339199999,1307245812.65076,353722,18151.328,664992223.56805,0
1612339200000,36355.83,36355.83,35598.79,36024.06,44491.638,1612353599999,1601034351.05107,414477,21850.628,786357030.23406,0
1612353600000,36024.06,36976.34,35870.73,36891.1,42210.568,1612367999999,1541225995.30616,420177,21595.366,788826502.05574,0
1612368000000,36891.1,37273.12,36672.19,36820.87,49335.067,1612382399999,1825752207.0033,452616,23473.261,868911870.72962,0
1612382400000,36821.01,37700.0,36671.6,37652.51,33221.114,1612396799999,1238331323.68517,343073,16846.266,628030563.57434,0
1612396800000,37651.92,38388.73,37400.0,37565.17,51191.037,1612411199999,1941448225.73486,458841,25394.938,963503167.1429,0
1612411200000,37565.17,38260.0,37370.0,37884.43,35870.067,1612425599999,1358187171.646,344777,18086.098,684844495.00197,0
1612425600000,37884.42,38833.0,36800.0,37361.16,83436.706,1612439999999,3148304714.3636,727409,40696.25,1536216773.50236,0
1612440000000,37356.21,37800.0,36233.0,36604.61,62457.265,1612454399999,2314929242.46646,554961,28987.108,1074872395.03897,0
1612454400000,36605.43,37575.83,36450.89,37508.08,40197.822,1612468799999,1488544166.88267,382725,20933.026,775334530.51586,0
1612468800000,37508.08,37859.33,36867.54,36976.93,33562.125,1612483199999,1255740495.26467,356549,15988.947,598527119.81253,0
1612483200000,36975.19,37449.52,36586.68,37424.55,29188.267,1612497599999,1081753992.30248,329073,14555.492,539490013.16912,0
1612497600000,37424.55,37780.0,37052.09,37708.46,28716.117,1612511999999,1075030422.25015,325153,14799.129,554179141.65131,0
1612512000000,37708.46,37867.1,37242.67,37745.41,29542.637,1612526399999,1110788070.08104,338766,14495.199,545135931.08717,0
1612526400000,37745.4,38411.82,37567.21,38006.64,46969.844,1612540799999,1788855204.35347,475355,23491.62,894871026.70862,0
1612540800000,38006.64,38199.77,37250.0,37638.22,39398.133,1612555199999,1488184328.10113,405274,18242.01,689277972.22519,0
1612555200000,37638.77,38393.93,37508.68,38362.65,22462.446,1612569599999,850983507.68721,270722,11619.781,440404718.30106,0
1612569600000,38357.17,39800.0,38269.0,39441.31,78401.846,1612583999999,3060664940.12179,692236,40073.79,1564903946.62821,0
1612584000000,39440.83,39534.0,38800.23,39410.68,27977.645,1612598399999,1097708399.63673,336298,13975.554,548476110.65764,0
1612598400000,39410.69,40540.81,39410.68,40264.34,59465.119,1612612799999,2376136952.13711,581406,30160.829,1205526054.90399,0
1612612800000,40262.0,40900.0,39935.58,40886.91,52027.036,1612627199999,2101410549.09736,526920,26508.218,1071166820.31409,0
